,fetched_date,domain,http_code,user_agent,disallow_count,allow_count
82,2023-04-02T10:52:46Z,cuishan.com,200,,0.0,0.0
83,2023-04-02T12:45:30Z,cybernautes.com,200,,0.0,0.0
84,2023-04-02T12:45:30Z,cybernautes.com,200,*,1.0,0.0
85,2023-04-02T12:45:30Z,cybernautes.com,200,ia_archiver,1.0,0.0
86,2023-04-02T12:45:30Z,cybernautes.com,200,SurveyBot,1.0,0.0
87,2023-04-02T12:45:30Z,cybernautes.com,200,AboutUsBot,1.0,0.0
88,2023-04-02T12:45:30Z,cybernautes.com,200,MJ12bot,1.0,0.0
89,2023-04-02T12:45:30Z,cybernautes.com,200,AhrefsBot,1.0,0.0
90,2023-04-02T12:45:30Z,cybernautes.com,200,SemrushBot,1.0,0.0
91,2023-04-02T12:17:02Z,cyprusbusinessconsultancy.com,404,,,
92,2023-04-02T11:21:31Z,dakakker.nl,404,,,
93,2023-04-02T10:53:35Z,dalia.deviantart.com,301,,,
94,2023-04-02T11:23:11Z,dirt-devil.blog.onet.pl,410,,,
95,2023-04-02T12:16:23Z,draseis.gr,503,,,
96,2023-04-02T12:28:13Z,drgoldmandentist.com,404,,,
97,2023-04-02T11:05:59Z,dvdforum.gr.jp,404,,,
98,2023-04-02T10:56:19Z,dvoradavis.com,200,,0.0,0.0
99,2023-04-02T10:56:19Z,dvoradavis.com,200,*,1.0,1.0
100,2023-04-02T11:20:45Z,e1v.cui9391.top,500,,,
101,2023-04-02T11:21:22Z,e22gy3w.chainsawmarket.com,403,,,
102,2023-04-02T12:13:36Z,egipto.descubrehoy.com,404,,,
103,2023-04-02T10:54:11Z,elogedesphenomenes.blogspot.fr,302,,,
104,2023-04-02T12:06:33Z,endeavorla.com,200,,0.0,0.0
105,2023-04-02T12:06:33Z,endeavorla.com,200,*,1.0,0.0
106,2023-04-02T11:38:36Z,epsonmoverio2.devpost.com,301,,,
107,2023-04-02T11:23:14Z,estel-rbp.pl,200,,0.0,0.0
108,2023-04-02T11:23:14Z,estel-rbp.pl,200,*,1.0,1.0
109,2023-04-02T10:53:05Z,ezistim.com,200,,0.0,0.0
110,2023-04-02T10:53:05Z,ezistim.com,200,*,1.0,0.0
111,2023-04-02T10:56:57Z,feiertjesusgospel.de,404,,,
112,2023-04-02T11:01:04Z,flash.benderseo.com,200,,0.0,0.0
113,2023-04-02T11:01:04Z,flash.benderseo.com,200,*,1.0,0.0
114,2023-04-02T10:54:19Z,forum.ifzentrale.de,200,,0.0,0.0
115,2023-04-02T10:54:19Z,forum.ifzentrale.de,200,*,6.0,0.0
116,2023-04-02T10:54:19Z,forum.ifzentrale.de,200,Googlebot-Image,1.0,0.0
117,2023-04-02T10:54:19Z,forum.ifzentrale.de,200,msnbot-media,1.0,0.0
118,2023-04-02T10:55:04Z,fozhanpub.com,200,,0.0,0.0
119,2023-04-02T10:55:04Z,fozhanpub.com,200,*,1.0,1.0
120,2023-04-02T11:39:16Z,francoisemasset.com,404,,,
121,2023-04-02T10:54:22Z,funerarium-uccle.be,200,,0.0,0.0
122,2023-04-02T10:54:22Z,funerarium-uccle.be,200,*,1.0,0.0
123,2023-04-02T11:34:55Z,fungarden.com.hk,301,,,
124,2023-04-02T11:16:19Z,gcseed.cn,200,,0.0,0.0
125,2023-04-02T11:16:19Z,gcseed.cn,200,*,1.0,0.0
126,2023-04-02T12:36:53Z,genderautonomynow.com,302,,,
127,2023-04-02T12:00:05Z,gfinder.policycuresresearch.org,404,,,
128,2023-04-02T11:32:12Z,gmailavailability.com,200,,0.0,0.0
129,2023-04-02T11:32:12Z,gmailavailability.com,200,*,2.0,1.0
130,2023-04-02T11:51:42Z,harsharmadillo.com,404,,,
131,2023-04-02T12:01:06Z,hebei.xxryxly.com,301,,,
132,2023-04-02T11:15:54Z,hehuoxinbaiyou.cn,200,,0.0,0.0
133,2023-04-02T12:28:22Z,hollywoodjefe.com,200,,0.0,0.0
134,2023-04-02T12:28:22Z,hollywoodjefe.com,200,*,1.0,0.0
135,2023-04-02T11:00:16Z,holum.net,404,,,
136,2023-04-02T10:56:26Z,hunttheoutback.com,301,,,
137,2023-04-02T12:35:35Z,icev.cl,200,,0.0,0.0
138,2023-04-02T12:35:35Z,icev.cl,200,*,2.0,0.0
139,2023-04-02T11:16:20Z,ihilani.air-nifty.com,404,,,
140,2023-04-02T12:36:16Z,img.analmud.com,200,,0.0,0.0
141,2023-04-02T12:36:16Z,img.analmud.com,200,Googlebot,1.0,0.0
142,2023-04-02T12:36:16Z,img.analmud.com,200,Baiduspider,1.0,0.0
143,2023-04-02T12:36:16Z,img.analmud.com,200,YandexBot,1.0,0.0
144,2023-04-02T12:36:16Z,img.analmud.com,200,ichiro,1.0,0.0
145,2023-04-02T12:36:16Z,img.analmud.com,200,sogou spider,1.0,0.0
146,2023-04-02T12:36:16Z,img.analmud.com,200,Sosospider,1.0,0.0
147,2023-04-02T12:36:16Z,img.analmud.com,200,YoudaoBot,1.0,0.0
148,2023-04-02T12:36:16Z,img.analmud.com,200,YetiBot,1.0,0.0
149,2023-04-02T12:36:16Z,img.analmud.com,200,bingbot,2.0,0.0
150,2023-04-02T12:36:16Z,img.analmud.com,200,rdfbot,1.0,0.0
151,2023-04-02T12:36:16Z,img.analmud.com,200,Seznambot,1.0,0.0
152,2023-04-02T12:36:16Z,img.analmud.com,200,ia_archiver,1.0,0.0
153,2023-04-02T12:36:16Z,img.analmud.com,200,Mediapartners-Google,1.0,0.0
154,2023-04-02T10:53:27Z,indicatedesign.com,200,,0.0,0.0
155,2023-04-02T10:53:27Z,indicatedesign.com,200,*,1.0,1.0
156,2023-04-02T11:23:36Z,info.tm.edu.ro,200,,0.0,0.0
157,2023-04-02T11:23:36Z,info.tm.edu.ro,200,*,22.0,0.0
158,2023-04-02T12:26:50Z,international.us1.list-manage.com,307,,,
159,2023-04-02T10:54:08Z,irclog.greptilian.com,404,,,
160,2023-04-02T12:51:30Z,itspa.com,200,,0.0,0.0
161,2023-04-02T12:51:30Z,itspa.com,200,Googlebot,1.0,0.0
162,2023-04-02T12:51:30Z,itspa.com,200,Baiduspider,1.0,0.0
163,2023-04-02T12:51:30Z,itspa.com,200,YandexBot,1.0,0.0
164,2023-04-02T12:51:30Z,itspa.com,200,ichiro,1.0,0.0
165,2023-04-02T12:51:30Z,itspa.com,200,sogou spider,1.0,0.0
166,2023-04-02T12:51:30Z,itspa.com,200,Sosospider,1.0,0.0
167,2023-04-02T12:51:30Z,itspa.com,200,YoudaoBot,1.0,0.0
168,2023-04-02T12:51:30Z,itspa.com,200,YetiBot,1.0,0.0
169,2023-04-02T12:51:30Z,itspa.com,200,bingbot,2.0,0.0
170,2023-04-02T12:51:30Z,itspa.com,200,rdfbot,1.0,0.0
171,2023-04-02T12:51:30Z,itspa.com,200,Seznambot,1.0,0.0
172,2023-04-02T12:51:30Z,itspa.com,200,ia_archiver,1.0,0.0
173,2023-04-02T12:51:30Z,itspa.com,200,Mediapartners-Google,1.0,0.0
174,2023-04-02T11:56:06Z,joachimundflumi.de,301,,,
175,2023-04-02T12:53:34Z,johngordonphotography.com,404,,,
176,2023-04-02T10:54:13Z,k-shogai.com,200,,0.0,0.0
177,2023-04-02T10:54:13Z,k-shogai.com,200,*,1.0,1.0
178,2023-04-02T11:08:15Z,kambras.com,301,,,
179,2023-04-02T10:55:47Z,kanraworkshop.blog114.fc2.com,200,,0.0,0.0
180,2023-04-02T10:55:47Z,kanraworkshop.blog114.fc2.com,200,*,1.0,0.0
181,2023-04-02T10:57:10Z,katecheza.pl,200,,0.0,0.0
182,2023-04-02T10:57:10Z,katecheza.pl,200,*,14.0,0.0
183,2023-04-02T12:27:55Z,kmbuilder.com,302,,,
184,2023-04-02T12:40:39Z,ladpw.org,200,,0.0,0.0
185,2023-04-02T12:40:39Z,ladpw.org,200,*,23.0,0.0
186,2023-04-02T10:53:31Z,landrasseziegen.de,200,,0.0,0.0
187,2023-04-02T10:53:31Z,landrasseziegen.de,200,*,0.0,1.0
188,2023-04-02T13:16:51Z,legacyprod.appriver.com,302,,,
189,2023-04-02T10:53:13Z,leimay.cavearts.org,200,,0.0,0.0
190,2023-04-02T10:53:13Z,leimay.cavearts.org,200,ia_archiver,1.0,0.0
